,Headlines,Inclination,Source
0,Intellectual humility: the importance of knowing you might be wrong,left,Vox
1,The Bipartisan Group That’s Not Afraid of Partisanship,left,The Atlantic
2,Bill Clinton: George H.W. Bush’s Oval Office note to me revealed the heart of who he was,left,Washington Post
3,Can lefties and right-wingers find common ground? One site thinks so,left,San Francisco Chronicle
4,Train for Thanksgiving With Our Angry Uncle Bot,left,Guest Writer - Left
5,'This Is America. This Is Good': Encounter Between Political Rivals Cruz and O'Rourke Proves Civility Not Dead,right,CBN
6,The Way Forward from the Midterms,right,National Review
7,OPINION: Bringing American politics back from the brink,right,Mitch McConnell
8,OPINION; What Do We Have In Common?,right,Ben Shapiro
9,OPINION: Screaming and Whining Aren't Strategies,right,Ben Shapiro
10,"Americans have a New Year's resolution for Washington: Cut it out, already",center,USA TODAY
11,Warning To Democrats: Most Americans Against U.S. Getting More Politically Correct,center,NPR News
12,"Divided America, difficult conversations: If you're ready to have them, here's how",center,Chicago Tribune
13,The Kavanaugh debate was destructive tribalism on steroids: Here’s how we can stop it from happening again,center,The Hill
14,"John McCain: Why Joe Biden will eulogize his longtime friend. 'If he needed my personal help, I’d go'",center,USA TODAY
15,Cyntoia Brown is granted clemency after serving 15 years in prison for killing man who bought her for sex,left,CNN (Web News)
16,Criminal justice reform bill passed by Senate in rare bipartisan victory,left,The Guardian
17,Senate Passes Criminal Justice Reform Bill,left,HuffPost
18,Trump Expected to Endorse Deal to Change Nation’s Sentencing Laws,left,New York Times - News
19,"3 Years Later, The Federal Government Still Hasn’t Counted Sandra Bland’s Death",left,HuffPost
20,Cyntoia Brown granted clemency years after getting life sentence for killing man as teen,right,Fox News
21,'A Breakthrough I'd Never Expect': Why Democrats Are Praising the White House for This Historic Move,right,CBN
22,Senate Overwhelmingly Passes Criminal Justice Overhaul,right,CBN
23,"Innocent Until Proven Guilty, But Only If You Can Pay",right,Reason
24,"Trump Pardons Oregon Cattle Ranchers, Citing ‘Overzealous Appeal’ by Obama Administration",right,Washington Free Beacon
25,Cyntoia Brown: Tennessee governor grants clemency in 2004 murder,center,BBC News
26,US Senate passes sweeping criminal justice reform bill,center,BBC News
27,Trump pardon for Oregon ranchers who inspired refuge standoff,center,Reuters
28,"Erica Garner, outspoken activist after her dad was police chokehold victim, dies",center,USA TODAY
29,Ex-South Carolina cop gets 20 years in prison for black motorist's death,center,Reuters
30,Warren regains footing in Iowa blitz,left,Politico
31,Elizabeth Warren launches exploratory committee ahead of likely 2020 presidential run,left,CNN (Web News)
32,Russian 2016 Influence Operation Targeted African-Americans,left,New York Times - News
33,Russia’s Pro-Trump Disinformation Campaign Used Every Major Social Media Platform,left,Slate
34,"New report on Russian disinformation, prepared for the Senate, shows the operation’s scale and sweep",left,Washington Post
35,"Elizabeth Warren barnstorms Iowa amid 2020 push, says she wants to 'return politics to the people’",right,Fox News
36,She's Running: Guess Who Just Formed a 2020 Exploratory Committee,right,Townhall
37,New Report On Russian Disinformation Shows The Operation’s Scale And Sweep,right,HotAir
38,"To Win Reelection, Trump Must Expand His Coalition",right,National Review
